CODE;TITRE;DEBUT DE VALIDITE;FIN DE VALIDITE;UTILISATION;UTILISATION PAR CLIENT;POURCENTAGE REMISE %;VALABLE SUR PAYS;TYPE DE FORFAIT
25PZKWA;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
25SSF9Y;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
25TA4Q0;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
25XAVTD;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
26DWJYY;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
26E2NZO;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
27A3OKX;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
27E4WZO;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2848IID;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
289WU7I;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
28D1SPS;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
28DO4LU;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
28KIHK8;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
28SVDDJ;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
29S37L4;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
29U0DRC;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
29WQ1V0;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2A19V36;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
